entity_type,bundle_name,entity_id,field_name,weight,address,street,street2,city,province,zip,country,timezone,zoom,lat,lng,term_id
post,charity_bin_dir_ltg,14501,location_address,0,"126 Valencia Dr NE, Albuquerque, NM 87108, USA",126 Valencia Drive Northeast,,Albuquerque,New Mexico,87108,US,,10,35.078312,-106.580621,0
post,charity_bin_dir_ltg,14502,location_address,0,"2001 Girard Blvd SE, Albuquerque, NM 87106, USA",2001 Girard Boulevard Southeast,,Albuquerque,New Mexico,87106,US,,10,35.059661,-106.615684,0
post,charity_bin_dir_ltg,14503,location_address,0,"2620 Carlisle Blvd NE, Albuquerque, NM 87110, USA",2620 Carlisle Boulevard Northeast,,Albuquerque,New Mexico,87110,US,,10,35.110121,-106.601686,0
post,charity_bin_dir_ltg,14504,location_address,0,"3201 Aztec Rd NE, Albuquerque, NM 87107, USA",3201 Aztec Road Northeast,,Albuquerque,New Mexico,87107,US,,10,35.120752,-106.608132,0
post,charity_bin_dir_ltg,14505,location_address,0,"3308 Coors Blvd NW, Albuquerque, NM 87120, USA",3308 Coors Boulevard Northwest,,Albuquerque,New Mexico,87120,US,,10,35.120409,-106.700685,0
post,charity_bin_dir_ltg,14506,location_address,0,"4950 San Mateo Blvd NE, Albuquerque, NM 87109, USA",4950 San Mateo Boulevard Northeast,,Albuquerque,New Mexico,87109,US,,10,35.13662,-106.585974,0
post,charity_bin_dir_ltg,14507,location_address,0,"5801 Coors Blvd NW, Albuquerque, NM 87120, USA",5801 Coors Boulevard Northwest,,Albuquerque,New Mexico,87120,US,,10,35.149695,-106.688637,0
post,charity_bin_dir_ltg,14508,location_address,0,"7900 Central Ave SE, Albuquerque, NM 87108, USA",7900 Central Avenue Southeast,,Albuquerque,New Mexico,87108,US,,10,35.074508,-106.558798,0
post,charity_bin_dir_ltg,14509,location_address,0,"8010 Academy Rd NE, Albuquerque, NM 87111, USA",8010 Academy Road Northeast,,Albuquerque,New Mexico,87111,US,,10,35.146231,-106.552464,0
post,charity_bin_dir_ltg,14510,location_address,0,"9600 Menaul Blvd NE, Albuquerque, NM 87112, USA",9600 Menaul Boulevard Northeast,,Albuquerque,New Mexico,87112,US,,10,35.108897,-106.534577,0
post,charity_bin_dir_ltg,14511,location_address,0,"9800 Central Ave SE, Albuquerque, NM 87123, USA",9800 Central Avenue Southeast,,Albuquerque,New Mexico,87116,US,,10,35.07232,-106.539142,0
post,charity_bin_dir_ltg,14512,location_address,0,"Northwest, 3622 NM-528, Albuquerque, NM 87114, USA",,,,,,,,10,35.207314,-106.652365,0
post,charity_bin_dir_ltg,14513,location_address,0,"103 Vallejos Ln, Los Lunas, NM 87031, USA",103 Vallejos Lane,,,New Mexico,87031,US,,10,34.807046,-106.735235,0
post,charity_bin_dir_ltg,14514,location_address,0,"108 Carson Dr, Los Lunas, NM 87031, USA",108 Carson Drive,,,New Mexico,87031,US,,10,34.803852,-106.722635,0
post,charity_bin_dir_ltg,14515,location_address,0,"1475 NM-528, Rio Rancho, NM 87124, USA",1475 Pat D'Arco Highway,,Rio Rancho,New Mexico,87124,US,,10,35.231776,-106.659138,0
post,charity_bin_dir_ltg,14516,location_address,0,"1690 Rio Rancho Blvd SE, Rio Rancho, NM 87124, USA",,,,,,,,10,35.231999,-106.657408,0
post,charity_bin_dir_ltg,14517,location_address,0,"1932 Cerrillos Rd, Santa Fe, NM 87505, USA",1932 Cerrillos Road,,Santa Fe,New Mexico,87505,US,,10,35.663343,-105.975152,0
post,charity_bin_dir_ltg,14518,location_address,0,"4 Kuhn Dr, Tijeras, NM 87059, USA",4 Kuhn Drive,,,New Mexico,87196,US,,10,34.978677,-106.323179,0
post,charity_bin_dir_ltg,14519,location_address,0,"1444 45th St S, Fargo, ND 58103, USA",45th Street South,,Fargo,North Dakota,58104,US,,10,46.858761,-96.860191,0
post,charity_bin_dir_ltg,14520,location_address,0,"1623 38th St SW, Fargo, ND 58103, USA",,,,,,,,10,46.856459,-96.84335,0
post,charity_bin_dir_ltg,14521,location_address,0,"3000 S University Dr, Fargo, ND 58103, USA",3000 South University Drive,,Fargo,North Dakota,58103,US,,10,46.834349,-96.797826,0
post,charity_bin_dir_ltg,14522,location_address,0,"3100 12th Ave N, Fargo, ND 58102, USA",3100 12th Avenue North,,Fargo,North Dakota,58102,US,,10,46.890169,-96.827468,0
post,charity_bin_dir_ltg,14523,location_address,0,"3100 25th St S, Fargo, ND 58103, USA",3100 25th Street South,,Fargo,North Dakota,58104,US,,10,46.833445,-96.819381,0
post,charity_bin_dir_ltg,14524,location_address,0,"3500 12th Ave N, Fargo, ND 58102, USA",3500 12th Avenue North,,Fargo,North Dakota,58102,US,,10,46.889322,-96.83591,0
post,charity_bin_dir_ltg,14525,location_address,0,"3800 51st Ave S, Fargo, ND 58104, USA",51st Avenue South,,Fargo,North Dakota,58104,US,,10,46.805451,-96.846721,0
post,charity_bin_dir_ltg,14526,location_address,0,"4451 40th Ave S, Fargo, ND 58104, USA",4451 40th Avenue South,,Fargo,North Dakota,58104,US,,10,46.819315,-96.859228,0
post,charity_bin_dir_ltg,14527,location_address,0,"4510 13th Ave S, Fargo, ND 58103, USA",4510 13th Avenue South,,Fargo,North Dakota,58103,US,,10,46.860687,-96.863693,0
post,charity_bin_dir_ltg,14528,location_address,0,"4907 Timber Pkwy S, Fargo, ND 58104, USA",,,,,,,,10,46.806702,-96.831258,0
post,charity_bin_dir_ltg,14529,location_address,0,"700 7th St S, Fargo, ND 58103, USA",700 7th Street South,,Fargo,North Dakota,58103,US,,10,46.867577,-96.789631,0
post,charity_bin_dir_ltg,14530,location_address,0,"170th Ave SE, Washington, USA",170th Avenue Southeast,,Bellevue,Washington,99007,US,,10,47.564938,-122.1131,0
post,charity_bin_dir_ltg,14531,location_address,0,"210 7th St S, Moorhead, MN 56560, USA",210 7th Street South,,,Minnesota,56560,US,,10,46.872397,-96.768823,0
post,charity_bin_dir_ltg,14532,location_address,0,"2929 20th St, Moorhead, MN 56560, USA",2929 20th Street,,,Minnesota,56560,US,,10,46.844355,-96.748293,0
post,charity_bin_dir_ltg,14533,location_address,0,"110 Sheyenne St, West Fargo, ND 58078, USA",110 Sheyenne Street,,,North Dakota,58078,US,,10,46.875275,-96.904986,0
post,charity_bin_dir_ltg,14534,location_address,0,"1402 16th St E, West Fargo, ND 58078, USA",1402 16th Street East,,,North Dakota,58078,US,,10,46.860431,-96.874333,0
post,charity_bin_dir_ltg,14535,location_address,0,"755 33rd Ave E, West Fargo, ND 58078, USA",755 33rd Avenue East,,,North Dakota,58078,US,,10,46.831525,-96.885605,0
post,charity_bin_dir_ltg,14536,location_address,0,"5610 Fairview Rd N, Baxter, MN 56425, USA",5610 Fairview Road North,,,Minnesota,56425,US,,10,46.344683,-94.283966,0
